id,created_at,deleted_at,deleted_reason,is_deleted,updated_at,amount_score,amount_trendr2,amount_trend_slope,average_amount,average_day,avg_interval,continuity_ratio,date_score,detection_score,interval_cv,interval_std,last_transaction_date,name,origin_name,periodicity_score,persistence_score,status,transaction_count,weekend_ratio,account_id,user_id
1,2025-04-08 01:08:40.095033,,,false,2025-04-08 01:08:40.095033,0,0.062131852470897087,-290.5,873.25,9,30.666666666666668,0.8,0.75,0.5575000000000001,0.08134037797334655,2.494438257849294,2025-03-02,Amazon_AWS,Amazon_AWS,0.25,0.8,APPROVED,5,0.75,4,0
2,2025-04-08 01:08:40.163733,,,false,2025-04-08 01:08:40.163733,0.47367516924500297,0.15353347971994033,4836.071428571428,50657.14,6,24.333333333333332,1,1,0.749622703958179,0.45309138105592406,11.025223605694151,2025-03-06,KB카드출금,KB카드출금,0.14285714285714285,1,APPROVED,10,0,4,0
3,2025-04-08 01:08:40.240215,,,false,2025-04-08 01:08:40.240215,1,0,0,22340.00,10,29.4,1,1,0.8333333333333334,0.03468720757546112,1.0198039027185568,2025-03-10,건강보험,건강배성훈,0.16666666666666666,1,APPROVED,0,0.3333333333333333,4,0
4,2025-04-08 01:08:40.310017,,,false,2025-04-08 01:08:40.310017,0.6007266190112248,0.12641981897956092,-31832.142857142855,484385.71,30,24.666666666666668,1,1,0.7686804214231123,0.44880329474096253,11.070481270277076,2025-02-28,곽숙자,곽숙자,0.14285714285714285,1,APPROVED,11,0.14285714285714285,4,0
5,2025-04-08 01:08:40.379011,,,false,2025-04-08 01:08:40.379011,0.9393939393939394,0.06666666666666665,100,8250.00,15,26.666666666666668,0.75,0.5,0.615909090909091,0.9837746184975499,26.23398982660133,2025-01-05,낙성,낙성,0.25,0.75,REJECTED,5,0.5,4,0
6,2025-04-08 01:08:40.461166,,,false,2025-04-08 01:08:40.461166,0.9155348364557525,0.01714285714285714,57.142857142857146,9666.67,20,23.4,0.8,0.5,0.6156635588016962,0.7458948454451771,17.453939383417143,2025-03-18,더덕순대,더덕순대,0.16666666666666666,0.8,REJECTED,6,0.16666666666666666,4,0
7,2025-04-08 01:08:40.532893,,,false,2025-04-08 01:08:40.532893,1,0,0,9500.00,24,46,0.75,0.6666666666666666,0.6833333333333333,0.7608695652173914,35,2025-01-31,본래순대낙성대점,본래순대낙성대점,0.3333333333333333,0.75,REJECTED,3,0,4,0
8,2025-04-08 01:08:40.612344,,,false,2025-04-08 01:08:40.612344,0.9842148800566851,0.570791755484424,221.8,29406.60,16,29.75,1,1,0.8376322320085028,0.06878447707455841,2.0463381929681126,2025-03-16,비자해외승인대금출금,비자해외승인대금출금,0.2,1,APPROVED,5,0.8,4,0
9,2025-04-08 01:08:40.689264,,,false,2025-04-08 01:08:40.689264,0.9417316428185993,0.7500000000000001,300,9400.00,18,23.25,1,0.4,0.68125974642279,0.7569006546399168,17.597940220378067,2025-02-20,상도늘보리,상도늘보리,0.2,1,REJECTED,5,0.2,4,0
10,2025-04-08 01:08:40.781453,,,false,2025-04-08 01:08:40.781453,0.6322877444240613,0.49801724451558926,1671.4285714285713,13914.29,20,26.666666666666668,0.8333333333333334,0.42857142857142855,0.5638907807112282,0.4424717505106964,11.799246680285238,2025-03-22,이쿠,이쿠,0.14285714285714285,0.8333333333333334,REJECTED,8,0.42857142857142855,4,0
11,2025-04-08 01:08:40.862840,,,false,2025-04-08 01:08:40.862840,0.7717365528892544,0.22707767560077033,-638,9274.00,25,32,1,0.6,0.7057604829333882,0.12303137303143455,3.9370039370059056,2025-02-28,전기요금,한전(곽숙자),0.2,1,APPROVED,0,0,4,0
12,2025-04-08 01:08:40.952780,,,false,2025-04-08 01:08:40.952780,0.7822597034017621,0.6528028933092225,1899.9999999999998,10800.00,10,38,0.6666666666666666,0.6666666666666666,0.6173389555102643,1,38,2025-02-15,카카오T택시_가승인,카카오T택시_가승인,0.3333333333333333,0.6666666666666666,REJECTED,6,1,4,0
13,2025-04-08 01:08:41.040832,,,false,2025-04-08 01:08:41.040832,0.31152509834493414,0.0023188310501609083,960,28956.67,16,31.5,1,1,0.7633954314184068,0.07936507936507936,2.5,2025-02-18,쿠팡나중결제,쿠팡나중결제,0.3333333333333333,1,REJECTED,3,0,4,0
14,2025-04-08 01:08:41.123162,,,false,2025-04-08 01:08:41.123162,1,0,0,7890.00,9,29.8,1,1,0.8333333333333334,0.05773372662444715,1.7204650534085253,2025-03-09,쿠팡와우월회비,쿠팡와우월회비,0.16666666666666666,1,APPROVED,8,0.5,4,0
15,2025-04-08 01:08:41.229968,,,false,2025-04-08 01:08:41.229968,0,0.00016139740327975247,-319.17857142857156,27145.86,12,24.666666666666668,1,0.7142857142857143,0.6071428571428572,0.3397244618912577,8.379870059984357,2025-03-14,토스 배성훈,토스 배성훈,0.14285714285714285,1,REJECTED,7,0,4,0
16,2025-04-08 01:08:41.311015,,,false,2025-04-08 01:08:41.311015,1,0,0,4800.00,16,37.5,0.6666666666666666,0.3333333333333333,0.5666666666666667,0.84,31.5,2024-12-23,(주)코리아세븐,(주)코리아세븐,0.3333333333333333,0.6666666666666666,REJECTED,7,0,24,0
17,2025-04-08 01:08:41.394209,,,false,2025-04-08 01:08:41.394209,1,0,0,13500.00,28,30.25,1,1,0.8400000000000001,0.02741012223434215,0.82915619758885,2025-02-28,넷플릭스,넷플릭스서비시스,0.2,1,REJECTED,5,0.2,24,0
